ISBN,Titulo,Autor,Ano_Publicacao,Capa_URL,Content_Warnings
9781729325087,Druid Vengeance,M.D. Massey,2018.0,https://assets.hardcover.app/edition/30407545/5b87040c165ac705f853a972befa6353d7a0e4f2.jpeg,
9781514664001,Maid for the Rock Star,Demelza Carlton,2015.0,https://assets.hardcover.app/edition/32417154/d92f45dd-66cd-4ebf-924e-56ea571ac759.jpg,Sexual content
9783987183126,The Never King,Nikki St. Crowe,2019.0,https://assets.hardcover.app/external_data/61437426/9c95b446c083405c656bb13c98b74f81cf895c77.jpeg,"kidnapping, Sexual content, Death, Murder, Mental illness, Blood, Violence, Infidelity, Gore, Domestic abuse"
9780063141513,Honey & Spice,Bolu Babalola,2022.0,https://assets.hardcover.app/edition/30452237/c97f64dad2e7de5045ce2af6820a6cadff64bf89.jpeg,
,Tapped by My Roommate,D.J. Jamison,,https://assets.hardcover.app/external_data/60284330/0d81ba67a8efcb22f9690c6524e44d2eb6f78300.jpeg,
9781301237098,Fireworks,Lindsey Gray,2013.0,https://assets.hardcover.app/edition/32634439/04ba4d71-44de-4787-82ad-6d54846edc49.jpg,
9781688633087,Wrecked: Dark Romance,Leia Stone,2019.0,https://assets.hardcover.app/edition/32863486/7bdab388-6fcb-4a64-893c-ef55d01d6e72.jpg,
9783736319738,Mess Me Up,Sarah Sprinz,2023.0,https://assets.hardcover.app/edition/32615100/fd8e86d030872097b0b44275723120400ba99457.jpeg,
9781619634442,A Court of Thorns and Roses,Sarah J. Maas,2014.0,https://assets.hardcover.app/external_data/50291833/4af7f88042d87ecc991f2fcb53e945d8daaabcfd.jpeg,"Sexual content, Death, Torture, Violence, Sexual assault, Toxic relationship, Murder, kidnapping, Injury/Injury detail, Gore"
9780425186138,What if we Drown,Sarah Sprinz,30.0,https://assets.hardcover.app/edition/30461945/dfd64b2880168a700a1368411fbf95bdc46cc014.jpeg,
2940016418650,The Impact of You,Kendall Ryan,2013.0,https://assets.hardcover.app/external_data/60836267/370cb5e902f36768f01111df80354dce0d930f4e.jpeg,
,That One Moment,C.S. Autumn,2025.0,https://assets.hardcover.app/external_data/270755/202d170a6a5566bb70a84927d8fc955bf8f380f7.jpeg,"Suicide attempt, Death of a sibling, Depression, Grief, Self harm, Death of a lover, Rape, Suicidal ideation, Suicidal Attempt"
9780593474884,Daisy Haites,Jessa Hastings,2021.0,https://assets.hardcover.app/editions/30539016/454b58ff-b53a-4c7c-a966-dd2316b24d6d.jpg,
9798780221074,Colin McCool Saves Christmas,M.D. Massey,2021.0,https://assets.hardcover.app/edition/31536682/3158e827f20b92d9ced1f24d631bbf89ac8ec088.jpeg,
,Unconditional Love,Andrew Grey,2012.0,https://assets.hardcover.app/editions/31404719/1334587595779846.jpg,
9781539073154,Druid Blood,M.D. Massey,2013.0,https://assets.hardcover.app/editions/30524850/95208fd7-4a28-403f-b24a-f2545c87079d.jpg,
9781250316776,"Red, White & Royal Blue",Casey McQuiston,2017.0,https://assets.hardcover.app/external_data/1648299/5869034759fdbfe0ccc5e1c834483213738d09fc.jpeg,"Homophobia, Panic attacks/disorders, Sexual content, Grief, Drug abuse, Sexual assault, Racism, Drug use"
9781500831950,Something Like Lightning,Jay Bell,2014.0,https://assets.hardcover.app/editions/31934674/8054034780109982.jpg,Sexual content
9780349439310,Redeeming 6,Chloe Walsh,2023.0,https://assets.hardcover.app/external_data/59992876/c77cca9f9036360023ca4a4b7218eabad795178b.jpeg,"Drug abuse, Domestic abuse, Violence, Alcoholism, Body shaming, Death, Emotional abuse, Drug use, Infidelity, bullying"
9781526602312,A ​Court of Silver Flames,Sarah J. Maas,2021.0,https://assets.hardcover.app/external_data/31975800/2bbb080fea31fd0c1f457838f63210cbc3fbe3d8.jpeg,"Sexual content, Violence, Grief, Alcoholism, Mental illness, Rape, Sexual assault, Death of parent, pregnancy, Alcohol"
9781976362910,Underground Druid,M.D. Massey,2017.0,https://assets.hardcover.app/edition/30407786/b05fbc7b6a53b2b4649dac44c11d3cb960faed6c.jpeg,
9781501115004,Cam Girl,Elliot Wake,2015.0,https://assets.hardcover.app/edition/30472960/54a32291859dd2eb2d8c8e2fa6bd136383481477.jpeg,
,Frost Dragon,Amelia Jade,2016.0,https://assets.hardcover.app/edition/32053899/b4060734-ac32-4b50-a676-a4e13844eec1.jpg,
9781739562434,That Secret Something,Emily Wright,2024.0,https://assets.hardcover.app/edition/31220188/f7fc7f97-4d66-472d-bf26-37f8552214e0.jpg,"Alcohol, anxiety, Panic attacks/disorders, Sexual content"
9781543080001,Graveyard Druid,M.D. Massey,2005.0,https://assets.hardcover.app/edition/30407812/e02a0c2dc008a999152616ca0af771cfff5e1b6f.jpeg,
9781963910025,His Coffee Shop Crush,Elle Waters,2023.0,https://assets.hardcover.app/edition/32115343/72f7ceaa-e653-4322-87d5-deb6c59c5143.jpg,Sexual content
,"Dear Patience, Sincerely Lucy",Abigail Hammond,2024.0,https://assets.hardcover.app/editions/31644530/8621873997145877.jpg,
9783492966832,Wait for You,J. Lynn,2013.0,https://assets.hardcover.app/books/501144/7787002203383033.jpg,
9781451626339,Triangles,Ellen Hopkins,2011.0,https://assets.hardcover.app/edition/30462835/6955280-L.jpg,Adultery
9781942444312,Good Boy,Sarina Bowen,2017.0,https://assets.hardcover.app/external_data/61048046/6d64be26ab24dab268b5d0344c402ec9459a1238.jpeg,
9781952457012,From Blood and Ash,Jennifer L. Armentrout,2020.0,https://assets.hardcover.app/edition/29984656/71784495ced6b827b22b949e1b86f3f947ac881e.jpeg,"Death, Sexual content, Violence, Physical abuse, Blood, Murder, Injury/Injury detail, sexual harassment, Cursing, Panic attacks/disorders"
9781408884416,House of Earth and Blood,Sarah J. Maas,2020.0,https://assets.hardcover.app/external_data/37374512/a568a05f05a9f6cd37a96e14662b846b45acd29b.jpeg,"Murder, Torture, Violence, suicidal thoughts, Drug use, Blood, Xenophobia, Drug abuse, confinement, Alcoholism"
9781546176589,The Gravewood,Kelly Andrew,2026.0,https://assets.hardcover.app/edition/32444937/596176ae1ea0cd2ff506ec24dc319e853fd8d03d.jpeg,
,Stuffed by The Alpha Bears,Lauren Fremont,2016.0,https://assets.hardcover.app/edition/32347573/2b2c3325-eddf-497e-8c0b-2c7dd0cd1ed5.jpg,Sexual content
9788416942947,El Deseo Prohibido de Doug,Darlis Stefany,2017.0,https://assets.hardcover.app/editions/30507803/2248744463047212-30040355-352-k339761.jpg,Depression
9781539030331,Junkyard Druid,M.D. Massey,2016.0,https://assets.hardcover.app/external_data/31939305/45bd78a19ab28cc7459275b9f722c0c30b711e90.jpeg,
9780316428477,Kingdom of the Cursed,Kerri Maniscalco,1.0,https://assets.hardcover.app/edition/31526683/9ae91b2b72d0beec2c468167d5125bc92719ab66.jpeg,gaslighting
